note,positivity,Originality,,
"My love for you are coffee grounds, the espresso bittersweet. I tamped it down only to find my cup cold and empty. So I will let myself keep loving you, to be able to love myself and others too.",0.6,0.6,,
i hope your heart knows the joy of a river reunited with the sea,0.85,0.75,,
i hope i'll have a chance to bask you in the unwavering faith that you once gifted to me,0.6,0.5, ,
"however the world turns, know that i'll always think of you and wish for your happiness",0.85,0.3,,
"may you have a mud to your grass, a stem to your leaf, an ever present sun to your shifting clouds",0.75,0.83,,
I hate that you left me and made me feel like an abandoned child,0,0,,
"i love you

specifically

how you are eating
a cookie right now:
your cheeks go munch... munch
and you look at your phone
so carefree! you must be very loved

one day we might have dumplings together
and your smile would be sunlight",0.75,0.67,,
"hey J, I’d still crack an egg in your ass and beat it till it’s scrambled. love, S",0,0,,
"you caught me by surprise that summer, apricot cocktails in the humid heat. i wish i could’ve brought myself to say how much you meant to me ",0.75,0.5,,
"If I am water, then you are land. You hold your ground firm, assured, stubborn. I can forget myself and emerge anew but you remember all. You’re capable of transforming, too, but slowly and under immense pressure, like the pressing of layers of sediment until mud becomes shale. You can hold me in a way the ocean can’t. In open water I am boundless and I am bereft but in your arms I can be still, a shimmering lake or sleepy pond. You move mountains with your will and as my river flows down from the summit you give me the means with which to reach peak velocity and power. ",0.75,0.92,,
"I liked you more than I had ever liked anybody. It was a feeling of ""Oh, I get it now. I understand why people make mistakes and start things they know will end."" We never actually ""started,"" but you taught me not to settle. That if there are people like you out there in the world, I should find them. I think that's what hurt the most about leaving, that I felt like I had lost the opportunity for a friend, or even a collaborator - we could have been so much more than romantic partners.",0.6,0.7,,
"if we are the universe looking at herself, then what treasure it is to see all the world in you and be seen by you too",0.75,0.67,,
Two people. One life. I miss you. I love you everyday. ,0.75,0.25,,
you make me want to believe in forever — i love you :c,0.95,0.25,,
"I wish I could’ve been a better friend to you. I wish you could’ve been a better friend to me. I see now that we really didn’t know each other at all but had still decided, mostly due to convenience and habit, that we were important to each other. I think that if we’d had any real kind of relationship, I might’ve acted differently and you might’ve responded differently. I will always regret, at least a little, the way that things turned out. Do you regret it a little bit too?",0,0,,
"evergreen immortality, your love has been fresh and new for years",0.85,0.75,,
you make the world more beautiful,0,0,,
i'm glad to have met you when i needed you,0.75,0.25,,
there's no one else i would eat hardboiled eggs for,0.4,0.2,,
have you ever written poetry about me?,0.45,0.65,,
"i thought i would always love you, but i think now if you were to ask me if i'd do it over... 

my answer has changed",0,0,,
"Your kindness shines so brightly through your skin. I remember sitting in a playground with you, in awe of our immediate closeness, your leg up against mine. Our first kiss felt like a relaxing of our bodies into each other. I loved you from the very beginning, the moment you gently took your sunglasses off your face and smiled, closed-mouth and gentle, at me. ",0.87,0.76,,
the love i gave you is yours to keep,0.75,0.25,,
"i love you, i love you, i love every single atom that makes you you, i want to love you forever",0,0,,
"in the time when i was with you, pieces of the world previously unbeknownst to me unraveled before my eyes -- you helped me remember once again what makes it so worthwhile to be alive. in a world as oceanlike as this, it’s a miracle that we have ever crossed path at all.",0.92,0.85,,
"I wish you knew how much I care for you - how dear to my heart sits your praise, your touch, your scent, your presence. ",0,0,,
I don't know why I like you. I just do. And it's so hard for me to control my feelings. I will keep looking at you from far away but never confess and live with these sweet sad feelings because I know you will never like me back. ,0.2,0.4,,
"it was a beautiful, beautiful conversation",0,0,,
"you are so good to me, i love you i love you i love you!",0.95,0.1,,
"i know we wouldn't have worked out, but sometimes i wonder what would have happened if we'd tried",0,0,,
it's either thank you or i'm sorry. maybe both,0.7,0.4,,
i think i loved you,0.45,0.4,,
i can't wait to see you again,0,0,,
you're the best and i wish you could see how strong you are - i love you lots n,0.85,0.5,,
i'm not sure what a love letter sounds like because it feels like we're just having fun,0.25,0.5,,
they say when you've been friends for 7 years you'll stay friends for life. i wish that were true. those were a great 7 years though,0.25,0.25,,
"to m, your grace and gentle presence seeps into my blood. how i long for the impossibility of meeting you earlier, how i'm moved by the impossibility of stopping my want to give you my all",0.72,0.67,,
i already know how this ends but i still love you,0.67,0.33,,
i'm sorry,0,0,,
<3 ag,0.5,0,,
you're sitting across from me on the bus and I'm wondering what it would be like to love you,0.4,0.5,,
I think what I love most about us is the impossible hope that somehow lives between us,0.75,0.5,,
"I love you from the bottom of my heart. Never could I have imagined finding someone like you, someone so dear to my heart. You are unique, not just to my heart but to the world - a hidden diamond that deserves all the appreciation in the world. I'm eternally grateful to have you here and now and I wish we could stay this way forever. Together and by each other's side. I love you. ",0.98,0.73,,
You make me the happiest person alive. Every day I spend hours thinking about the time that we share. I simply love the way you make me feel,0.95,0.45,,
"i like ur white. i like ur hair. i like ur clouds. i like ur prances and hops, i like the noises u make. i like ur snuggles and warmth. i like ur stink. i like ur milk. milky.",0.3,0.6,,
